date,1101_Turnover,1101_Volume,1101_close,1101_eps,1101_high,1101_low,1101_open,1101_ups_and_downs,1101_ups_percent
6980,349769.0,9158.0,38.2,22.34,38.4,37.95,38.15,0.2,0.53
7369,604662.0,15952.0,38.2,21.34,38.4,37.25,37.25,0.85,2.28
7813,634441.0,13840.0,46.05,11.0167,46.05,45.6,46.0,0.1,0.22
7201,151159.0,4497.0,33.55,17.38,33.75,33.5,33.65,-0.25,-0.74
7692,551092.0,14385.0,,10.5495,38.45,38.15,38.2,0.2,0.52
7358,185646.0,5078.0,36.6,20.0,36.8,36.4,36.5,0.05,0.14
7022,231174.0,6574.0,35.1,20.41,35.3,35.05,35.3,-0.2,-0.57
6843,267688.0,7114.0,37.85,28.25,37.95,36.9,37.45,0.05,0.13
7139,319222.0,9287.0,34.45,17.85,34.75,34.15,34.25,0.2,0.58
7825,814766.0,17735.0,45.85,10.9689,46.2,45.8,46.05,-0.15,-0.33
7956,889096.0,21158.0,42.1,10.3695,42.15,,41.9,0.4,
7291,330896.0,8772.0,37.85,20.68,37.9,37.55,37.9,-0.05,-0.13
7846,619984.0,13854.0,44.7,10.6938,44.9,44.65,44.8,-0.1,-0.22
8079,1184242.0,32820.0,36.95,9.101,36.95,34.15,34.15,3.35,9.97
7888,507879.0,12726.0,40.0,9.4787,40.15,39.75,40.15,0.05,0.13
7228,194779.0,5643.0,34.2,18.69,34.8,34.2,34.5,-0.45,-1.3
7176,108952.0,3224.0,33.8,17.51,33.85,33.7,33.8,0.0,0.0
7026,185112.0,5257.0,35.2,20.47,35.4,35.15,35.4,0.1,0.28
7272,737354.0,19960.0,37.35,20.41,37.35,36.25,36.5,0.8,2.19
7455,560116.0,,42.05,18.36,42.4,41.8,42.0,0.05,0.12
7434,488747.0,10842.0,44.9,19.61,45.35,44.85,45.0,-0.55,-1.21
8051,456576.0,10566.0,43.25,10.6527,43.35,43.05,43.15,0.1,0.23
7762,1082623.0,25210.0,43.0,10.7769,43.15,42.35,42.45,0.1,0.23
7678,517101.0,13718.0,37.65,10.34,37.95,37.55,37.7,-0.05,-0.13
7518,514815.0,12353.0,41.8,12.12,41.95,41.3,41.5,0.25,0.6
7323,184380.0,5017.0,36.85,20.14,36.95,36.55,36.6,0.35,0.96
7470,639454.0,15056.0,42.3,18.47,43.05,42.1,42.8,-0.45,-1.05
7904,500584.0,12601.0,39.65,9.3957,40.0,39.6,40.0,-0.25,-0.63
7404,1122926.0,26030.0,43.5,24.3,43.95,42.5,43.2,0.35,0.81
7084,137805.0,3932.0,35.1,18.57,35.15,34.9,35.15,0.0,0.0
7642,344944.0,9643.0,35.55,9.77,35.95,35.55,35.9,-0.45,-1.25
7174,114186.0,3359.0,33.95,17.59,34.1,33.9,33.9,-0.05,-0.15
7463,837690.0,19272.0,43.5,19.0,43.75,42.8,43.35,0.8,1.87
7482,2522701.0,62165.0,41.05,17.93,41.4,39.55,39.7,1.7,4.32
7967,846939.0,20361.0,41.4,10.197,41.95,41.35,41.9,-0.6,-1.43
7424,1069841.0,23719.0,45.65,19.93,45.7,43.85,44.15,1.9,4.34
8015,659811.0,14765.0,44.75,11.0222,44.95,44.45,44.5,0.2,0.45
6942,243125.0,6889.0,35.25,20.61,35.5,35.2,35.4,-0.35,-0.98
7329,278203.0,7530.0,37.0,20.22,37.2,36.6,37.15,0.0,0.0
7524,573324.0,15006.0,38.55,11.17,38.55,37.95,37.95,0.55,1.45
7480,876472.0,21394.0,40.7,17.77,41.25,40.5,40.5,0.4,0.99
7397,606763.0,14906.0,40.8,22.79,41.2,40.0,40.4,0.4,0.99
6866,153827.0,4160.0,37.15,21.73,37.15,36.75,37.15,0.05,0.13
7984,584993.0,13665.0,42.8,10.5419,43.0,42.65,42.85,0.25,0.59
7859,1785539.0,47643.0,37.25,8.9115,37.85,37.05,37.85,-6.7,-15.24
7419,1010455.0,23082.0,43.75,19.1,44.25,42.9,43.3,0.35,0.81
7494,3164707.0,74315.0,42.15,12.22,43.7,41.85,42.65,0.65,1.57
8069,761987.0,18338.0,41.6,10.2463,41.9,41.2,41.2,-0.25,-0.6
7182,128765.0,3818.0,33.8,,33.8,33.65,33.65,0.1,0.3
7259,212322.0,6138.0,34.55,18.88,34.7,34.45,34.5,0.0,0.0
7242,206249.0,6091.0,33.95,18.55,33.95,33.55,33.6,0.25,0.74
7757,1126592.0,26419.0,42.85,10.7393,42.9,42.25,42.25,0.65,1.54
7783,505032.0,11926.0,42.5,10.1675,42.5,42.05,42.4,0.2,0.47
7959,595051.0,14077.0,42.35,10.431,42.55,42.0,42.55,-0.3,-0.7
7160,154031.0,4557.0,33.75,,33.9,33.75,33.85,-0.1,-0.3
7869,296501.0,7814.0,38.2,9.0521,38.2,37.75,37.8,0.35,0.92
8055,737293.0,,42.7,10.5172,43.0,42.3,42.35,-0.3,-0.7
