date,3532_Turnover,3532_Volume,3532_close,3532_eps,3532_high,3532_low,3532_open,3532_ups_and_downs,3532_ups_percent
7435,483033.0,3225.0,149.5,37.66,154.0,148.0,153.5,-1.5,-0.99
6977,323615.0,3237.0,98.5,117.26,103.5,98.5,102.5,-3.0,-2.96
7147,103649.0,1179.0,87.5,57.19,89.4,87.5,89.0,-1.2,-1.35
7309,1233768.0,10160.0,127.0,56.19,128.5,112.0,114.5,4.0,3.25
8033,82665.0,763.0,110.5,12.9847,111.5,105.0,108.0,-0.5,-0.45
7145,103169.0,1149.0,89.2,58.3,91.6,89.1,91.3,-1.7,-1.87
7449,356004.0,2499.0,143.5,36.15,144.0,140.5,142.0,2.5,1.77
7431,858615.0,5510.0,156.5,39.42,158.5,150.0,153.5,4.5,2.96
7154,152868.0,1700.0,89.1,58.24,91.2,89.1,90.8,0.1,0.11
7624,408725.0,3346.0,126.0,9.9,126.5,117.5,120.0,4.0,3.28
6857,30887.0,810.0,38.2,45.48,39.4,37.05,38.35,-0.2,-0.52
6885,68883.0,1158.0,59.2,70.48,60.5,58.5,59.0,0.2,0.34
7631,164384.0,1404.0,118.0,9.27,118.5,116.0,117.0,0.5,0.43
7733,458457.0,3726.0,122.5,8.5129,125.0,119.5,,3.5,2.94
7266,555780.0,6003.0,94.7,41.9,95.0,88.0,88.8,8.2,9.48
6993,876305.0,7118.0,124.0,131.91,126.5,117.5,119.5,6.0,5.08
6965,164698.0,1741.0,93.6,111.43,98.0,92.5,97.0,-3.4,-3.51
7939,68421.0,582.0,118.0,10.0941,119.0,115.5,116.5,1.5,1.29
7322,672933.0,4965.0,134.0,59.29,137.5,133.5,135.0,-1.5,-1.11
7264,389974.0,4324.0,88.1,38.98,93.5,88.0,91.6,-2.4,-2.65
6942,70434.0,1035.0,67.1,79.88,69.8,67.0,68.4,-0.9,-1.32
7442,432158.0,3129.0,137.5,34.63,142.5,136.0,142.5,-5.0,-3.51
7400,1979309.0,14027.0,144.5,36.4,144.5,135.5,138.0,13.0,9.89
7539,367491.0,2323.0,152.0,28.68,163.0,152.0,163.0,-11.0,-6.75
7504,326593.0,2918.0,110.5,20.85,114.0,110.5,113.0,-3.0,-2.64
7476,500090.0,3323.0,148.5,37.41,153.5,148.5,151.5,-2.0,-1.33
7056,87124.0,980.0,88.6,77.04,89.7,88.2,88.7,0.0,0.0
7517,261896.0,2449.0,105.5,19.91,108.5,105.5,107.0,-2.0,-1.86
8069,767601.0,5274.0,150.5,17.6851,153.5,138.5,138.5,10.5,7.5
7151,,573.0,88.2,57.65,89.6,88.0,89.6,-1.0,-1.12
6824,2568.0,80.0,32.2,26.83,32.3,31.7,32.0,0.3,0.94
7903,46673.0,453.0,102.0,8.7254,105.0,102.0,104.0,-1.5,-1.45
7977,37739.0,337.0,112.5,13.2197,113.0,110.5,,0.0,0.0
7823,120922.0,988.0,122.0,8.6097,123.5,121.5,123.0,-1.0,-0.81
7686,163615.0,1308.0,126.0,9.8979,127.0,123.0,125.0,1.0,0.8
6909,79220.0,1213.0,65.4,77.86,66.5,64.4,66.4,0.0,0.0
7445,238225.0,1725.0,139.5,35.14,139.5,137.0,138.0,2.0,1.45
7069,269302.0,3546.0,74.1,64.43,81.0,72.5,80.6,-5.9,-7.38
7582,391515.0,3444.0,115.0,21.7,115.5,111.0,113.0,1.0,0.88
7676,170074.0,1391.0,120.5,9.47,124.0,120.5,123.5,-1.5,-1.23
8044,185048.0,1572.0,119.0,13.9835,119.0,115.0,115.0,4.5,3.93
7055,94245.0,1058.0,88.6,77.04,90.9,88.5,90.6,-1.7,-1.88
7943,254680.0,2130.0,122.0,10.4363,122.0,117.0,117.5,6.0,5.17
8062,366580.0,2585.0,138.0,16.2162,146.0,138.0,144.5,-4.0,
8079,354928.0,2609.0,138.0,25.1825,138.5,131.5,131.5,12.0,9.52
7711,111738.0,1006.0,110.5,8.6803,113.0,110.0,112.0,-1.5,-1.34
7644,285233.0,2392.0,117.0,9.19,122.5,117.0,,-1.0,-0.85
7565,,2651.0,109.0,20.57,116.0,108.5,114.5,-9.0,-7.63
7132,106586.0,1217.0,87.0,56.86,88.6,85.7,86.0,1.7,1.99
8008,27346.0,243.0,112.0,13.161,113.0,112.0,112.5,0.5,0.45
6875,72946.0,1414.0,52.2,62.14,52.5,49.75,51.2,0.4,0.77
6867,357209.0,7332.0,48.3,57.5,51.3,45.6,46.5,1.65,3.54
7404,4380189.0,26967.0,155.0,39.04,172.0,155.0,165.0,-3.5,-2.21
6852,63822.0,1778.0,,28.88,38.75,,38.75,-3.7,-9.65
8084,617481.0,4525.0,132.0,24.0876,142.0,131.0,141.0,-3.0,-2.22
6914,75585.0,1216.0,64.5,76.79,64.5,60.6,62.9,1.6,2.54
7026,167309.0,1834.0,90.3,96.06,93.5,89.2,91.5,-0.3,-0.33
7406,3369083.0,20972.0,156.0,39.29,170.5,153.5,169.0,-8.0,-4.88
7788,59880.0,590.0,101.5,7.1629999999999985,102.5,100.5,101.0,-1.5,-1.46
7246,403776.0,4112.0,98.0,43.36,101.5,95.5,100.5,-1.9,-1.9
7001,483032.0,4023.0,118.5,126.06,125.0,116.0,124.0,-4.0,-3.27
7727,98812.0,831.0,118.5,8.2349,120.5,118.0,120.0,-0.5,-0.42
7379,525090.0,4124.0,125.5,43.43,130.5,124.0,126.5,-1.0,-0.79
8041,63445.0,547.0,115.5,,117.0,115.5,116.5,0.0,0.0
7810,518988.0,4195.0,126.0,8.892000000000003,126.0,121.0,125.0,0.0,0.0
7698,262759.0,2249.0,116.0,9.1123,118.5,116.0,117.0,-3.0,-2.52
6915,44481.0,697.0,63.0,75.0,65.1,63.0,64.5,-1.5,-2.33
7754,100057.0,853.0,117.5,8.1654,119.0,116.0,117.5,-1.0,-0.84
7734,145370.0,1189.0,123.5,8.5823,,120.5,123.0,1.0,0.82
7691,334488.0,2710.0,121.5,9.5444,126.0,121.5,122.0,-0.5,-0.41
6866,216698.0,4805.0,46.65,55.54,46.65,43.1,43.5,4.2,9.89
7491,447158.0,3385.0,130.0,24.53,135.0,129.0,130.5,-2.0,-1.52
6818,3282.0,99.0,33.1,27.58,33.35,33.05,33.1,0.0,0.0
7301,645917.0,4849.0,131.0,57.96,136.5,130.5,133.5,-1.0,-0.76
7252,257696.0,2659.0,96.1,42.52,99.6,95.1,99.6,-1.9,-1.94
6964,220382.0,2209.0,97.0,115.48,102.5,97.0,102.5,-1.5,-1.52
7357,441539.0,3539.0,125.5,43.43,126.5,122.5,124.0,2.5,2.03
7991,84424.0,727.0,117.5,13.8073,117.5,114.0,115.0,2.5,2.17
6838,3795.0,118.0,32.35,26.96,32.55,31.95,32.55,-0.2,-0.61
7288,2162958.0,16558.0,130.0,57.52,133.5,127.5,130.5,3.0,2.36
7306,785404.0,6609.0,115.5,51.11,125.0,115.5,122.0,-12.5,-9.77
7894,23971.0,234.0,103.0,8.8109,103.0,102.0,102.0,1.0,0.98
7230,781247.0,6642.0,114.0,50.44,122.5,113.0,121.0,-4.0,-3.39
7048,135229.0,1468.0,91.5,79.57,93.5,91.5,93.5,-0.5,-0.54
7959,60909.0,556.0,109.0,12.8085,111.0,108.5,109.5,-1.0,-0.91
7949,75384.0,669.0,114.5,9.7947,114.5,111.0,113.0,1.0,0.88
8050,1056980.0,7264.0,148.0,17.3913,148.5,141.5,142.5,4.0,2.78
6966,170219.0,1782.0,94.6,112.62,97.4,93.8,95.4,1.0,1.07
7177,307424.0,2909.0,,,,104.0,104.0,3.5,3.41
6896,95202.0,1416.0,66.5,79.17,68.6,66.1,66.8,-0.3,-0.45
6836,1143.0,35.0,32.6,27.17,32.75,32.5,32.5,0.15,0.46
7630,314848.0,2668.0,117.5,9.23,120.5,115.0,116.5,5.5,4.91
7344,957688.0,6866.0,137.5,60.84,141.0,137.5,138.5,0.5,0.36
7244,246557.0,2440.0,99.7,44.12,104.0,99.0,103.0,-3.3,-3.2
7260,200629.0,2106.0,94.2,41.68,96.7,94.2,96.5,-1.5,-1.57
7095,256152.0,2933.0,86.5,75.22,88.8,86.0,86.0,1.5,1.76
8036,137229.0,1205.0,115.5,13.5723,115.5,111.0,111.5,5.5,5.0
7060,123669.0,1364.0,89.7,78.0,91.8,89.7,91.6,-1.3,
7910,83449.0,799.0,104.5,8.9393,105.5,102.5,103.0,0.5,0.48
7838,83290.0,762.0,109.0,7.6923,111.0,108.0,110.5,0.0,0.0
8057,430813.0,3083.0,140.0,16.4512,142.5,137.0,141.0,0.5,0.36
7617,240605.0,1783.0,135.0,10.6,138.0,133.5,137.0,-4.0,-2.88
7300,709386.0,5414.0,132.0,58.41,134.5,127.0,130.5,0.0,0.0
7796,79453.0,765.0,104.5,7.3747,105.0,101.5,102.5,2.5,2.45
7833,63130.0,585.0,107.0,7.5512,109.0,107.0,109.0,-2.5,-2.28
7790,80272.0,772.0,102.0,7.1983,105.5,102.0,105.0,-1.0,-0.97
7747,182354.0,1484.0,123.5,8.5823,124.0,121.0,123.0,1.5,1.23
7995,65961.0,558.0,118.5,13.9248,120.0,117.5,119.5,-0.5,-0.42
