date,2915_Turnover,2915_Volume,2915_close,2915_eps,2915_high,2915_low,2915_open,2915_ups_and_downs,2915_ups_percent
7560,,,,,,,,,
7951,166259.0,2259.0,73.0,4.3298,74.4,73.0,74.3,-1.3,-1.75
7748,73111.0,964.0,75.7,3.9001,76.3,75.6,76.0,-0.1,-0.13
7204,360653.0,7450.0,48.2,6.88,49.3,47.5,47.6,0.85,1.8
7887,56730.0,810.0,70.0,4.1518,70.3,69.8,70.0,0.0,0.0
7064,139565.0,3160.0,44.0,6.93,44.55,44.0,44.3,-0.3,-0.68
7055,215432.0,4767.0,45.0,7.09,45.95,44.6,45.95,-0.95,-2.07
7356,449339.0,7920.0,57.0,,57.7,,57.1,0.0,0.0
6824,124999.0,2590.0,48.7,6.06,48.85,48.0,48.15,0.25,0.52
6958,199425.0,3418.0,58.4,7.79,58.7,58.1,58.5,0.3,0.52
7425,339636.0,5263.0,64.4,3.58,65.5,63.6,64.0,0.0,0.0
7965,115246.0,1503.0,76.9,3.9948,77.0,76.2,76.5,0.7,0.92
7197,128202.0,2769.0,46.7,6.66,46.7,45.85,46.1,0.55,1.19
7456,273883.0,4630.0,59.9,3.33,60.2,57.8,59.7,0.3,0.5
8030,154663.0,2260.0,68.1,3.5377,69.2,68.0,68.0,0.1,0.15
7648,69270.0,854.0,81.0,2.25,82.8,80.2,82.5,-1.2,-1.46
7972,154373.0,2071.0,74.3,3.8597,75.1,74.3,75.1,-0.8,-1.07
7854,101498.0,1604.0,63.0,3.5877,63.9,62.7,62.9,0.7,1.12
7561,,,,,,,,,
7824,62401.0,908.0,68.6,3.9066,69.2,,69.1,-0.5,-0.72
7826,71272.0,1026.0,69.2,3.9408,69.8,69.2,69.6,0.4,0.58
7712,54020.0,656.0,82.5,2.2872,82.6,82.1,82.2,0.3,0.36
7537,264949.0,4441.0,60.0,2.8,60.2,58.3,58.7,1.2,2.04
7042,141939.0,3098.0,45.7,7.2,46.3,45.15,45.4,0.1,0.22
6854,919190.0,17801.0,52.5,6.53,53.5,49.2,49.25,2.0,3.96
7139,718906.0,14888.0,48.4,6.9,49.0,47.75,48.1,1.1,2.33
7651,72945.0,891.0,82.0,2.27,82.4,81.4,82.2,0.0,0.0
7720,69871.0,878.0,79.3,,,79.3,80.1,-0.8,
7273,106866.0,2117.0,50.6,6.61,51.1,50.2,51.1,-0.2,-0.39
7069,240648.0,5506.0,43.4,6.83,44.4,43.35,44.35,-0.95,-2.14
7750,130989.0,1765.0,74.3,3.8279,75.0,73.8,75.0,-0.8,-1.07
7470,95206.0,1537.0,61.8,3.44,62.6,61.6,62.1,-0.4,-0.64
6859,373036.0,7277.0,50.8,6.77,51.8,50.8,51.3,-0.3,-0.59
7095,89983.0,2053.0,43.8,6.9,44.1,43.7,43.95,-0.25,-0.57
8051,99463.0,1453.0,68.2,3.5429,69.0,68.1,68.5,-0.6,-0.87
7545,182274.0,2949.0,62.0,2.89,62.0,61.3,61.7,0.3,0.49
7551,106516.0,1791.0,59.1,2.76,59.9,59.1,59.2,0.1,0.17
6858,499276.0,9658.0,51.1,6.81,52.8,50.9,52.0,-0.7,-1.35
7445,231427.0,3672.0,62.6,3.48,63.6,62.6,63.6,-0.4,-0.63
6867,1144176.0,20356.0,56.8,7.57,57.8,54.0,54.9,2.3,4.22
7587,101587.0,1257.0,81.8,3.81,82.2,79.2,79.7,1.8,2.25
6966,210968.0,3664.0,57.6,7.68,58.2,56.8,57.0,0.4,0.7
7841,70626.0,1056.0,67.1,3.8212,67.2,66.5,66.6,0.5,0.75
6948,549428.0,9533.0,57.8,7.71,58.5,56.9,58.5,-1.0,-1.7
7475,294026.0,4640.0,62.6,3.48,64.0,62.5,64.0,0.6,0.97
7914,124021.0,1802.0,68.4,4.0569,69.1,68.2,68.2,0.3,0.44
7825,122262.0,1782.0,68.8,3.918,69.1,68.4,69.0,0.2,0.29
7074,366313.0,8218.0,44.8,7.06,45.4,43.25,43.25,2.0,4.67
8064,87049.0,1257.0,69.3,3.6,69.5,68.8,68.8,0.6,0.87
8055,75215.0,1112.0,67.6,3.5117,67.9,67.2,67.2,-0.3,-0.44
6873,600264.0,10374.0,58.5,7.8,,56.9,57.5,1.2,2.09
7903,150157.0,2225.0,67.0,3.9739,68.4,67.0,67.9,-0.9,-1.33
7112,169724.0,3690.0,45.95,7.24,46.4,45.8,46.4,-0.15,-0.33
8005,120837.0,1675.0,72.0,3.7403,72.6,72.0,72.6,-0.7,-0.96
6943,348920.0,5903.0,58.9,7.85,59.6,58.7,59.4,-0.5,-0.84
7043,153774.0,3382.0,45.45,7.16,45.7,,45.55,-0.25,-0.55
7468,237189.0,3754.0,63.0,3.51,63.9,62.7,62.7,0.3,0.48
6838,149551.0,3006.0,,6.21,,49.25,50.0,-0.2,-0.4
7874,96778.0,1381.0,69.8,4.14,70.7,69.6,70.5,-1.0,-1.41
7096,111670.0,2535.0,44.05,6.94,44.2,43.9,43.9,0.25,0.57
7628,42274.0,541.0,78.2,2.17,78.9,77.9,78.2,-1.3,-1.64
7641,77412.0,984.0,78.4,2.17,79.3,78.2,78.7,0.6,0.77
7939,47890.0,656.0,73.1,4.3357,73.5,72.8,73.2,-0.1,-0.14
7153,134961.0,2864.0,47.05,6.71,47.6,46.9,47.55,-0.7,-1.47
7306,510095.0,10590.0,47.3,6.18,49.5,46.8,49.5,-3.2,-6.34
7293,113186.0,2176.0,52.3,6.84,52.3,51.6,51.7,0.4,0.77
8056,102441.0,,67.9,3.5273,,67.1,67.3,0.3,
7245,136394.0,2855.0,47.4,6.2,48.35,,48.2,-0.7,-1.46
6837,192917.0,3870.0,50.1,6.23,50.4,49.05,49.4,1.05,2.14
7498,225840.0,3574.0,63.0,2.94,63.6,,63.3,,0.16
7573,220836.0,2902.0,77.5,3.61,77.5,74.9,75.0,1.9,2.51
7035,67692.0,1442.0,46.95,5.64,47.35,46.6,47.0,-0.05,-0.11
7936,155307.0,2144.0,72.1,4.2764,73.3,71.9,73.1,-0.7,-0.96
7627,53685.0,674.0,79.5,2.2,80.5,79.1,80.5,-0.9,-1.12
6965,398881.0,6900.0,57.2,7.63,59.2,57.0,59.0,-1.4,-2.39
7397,138282.0,2414.0,57.6,3.83,57.6,57.0,57.3,0.0,0.0
7839,91049.0,1363.0,66.5,3.787,67.3,66.5,67.1,-0.5,-0.75
7355,1635182.0,27979.0,57.0,7.45,60.0,57.0,60.0,-1.0,-1.72
8057,124408.0,1830.0,67.6,3.5117,68.3,67.6,68.0,-0.3,-0.44
7819,242452.0,3217.0,76.0,4.328,76.0,74.6,74.6,1.4,1.88
7172,166053.0,3666.0,45.4,6.48,,44.95,46.15,-0.75,-1.63
6817,200616.0,4118.0,48.85,6.08,49.2,48.35,48.75,-1.1,-2.2
7288,153062.0,2898.0,,6.89,53.2,52.5,53.2,-0.3,-0.57
6901,99617.0,1870.0,53.5,7.13,53.6,52.8,52.9,0.8,1.52
7286,292161.0,5519.0,53.1,6.94,53.7,52.3,53.6,-0.3,-0.56
6957,258790.0,4436.0,58.1,7.75,59.2,58.0,58.9,-0.6,-1.02
7442,215176.0,3419.0,63.0,3.51,63.1,62.5,62.8,0.1,0.16
7124,64833.0,1417.0,,7.2,46.1,45.5,45.9,-0.15,-0.33
7357,310302.0,5460.0,56.3,,57.7,56.3,57.5,-0.7,-1.23
7517,347617.0,5766.0,59.3,2.76,61.6,59.2,61.4,-2.2,-3.58
7333,638860.0,12184.0,51.9,6.78,53.2,51.7,51.8,0.5,0.97
7343,619405.0,10885.0,57.4,7.5,57.9,55.2,55.6,1.8,3.24
7280,371578.0,7055.0,52.0,6.8,53.5,52.0,52.9,0.5,0.97
7515,165013.0,2662.0,61.6,2.87,62.9,61.5,62.9,-1.4,-2.22
7817,118371.0,1579.0,74.8,4.2597,75.4,74.7,75.3,-0.4,-0.53
7125,108577.0,2360.0,46.1,7.26,46.2,45.5,45.5,0.4,0.88
7350,448577.0,7701.0,57.5,7.52,59.5,57.3,59.1,-1.6,-2.71
8077,284620.0,4376.0,64.4,3.3455,66.3,,63.3,1.1,1.74
7490,187920.0,3064.0,61.3,3.41,62.0,60.9,61.5,-0.5,-0.81
7229,940873.0,18252.0,51.4,6.72,53.0,50.5,53.0,-2.4,-4.46
7621,57455.0,686.0,83.8,2.32,84.5,83.3,84.4,-0.7,-0.83
7377,265806.0,4621.0,58.1,3.87,58.1,56.8,57.5,1.3,2.29
6878,288035.0,4994.0,57.7,7.69,58.3,57.0,57.6,0.1,0.17
8035,110409.0,1639.0,67.4,3.5013,67.7,67.1,67.2,0.3,0.45
7608,138610.0,1559.0,89.1,2.47,89.8,87.5,88.0,0.6,0.68
7165,104292.0,2192.0,47.85,6.83,47.85,47.05,47.05,0.9,1.92
7454,100948.0,1658.0,60.7,3.38,61.2,60.5,60.7,0.0,0.0
7607,170056.0,1919.0,88.5,2.45,90.0,87.2,87.2,0.8,0.91
7291,136984.0,2613.0,52.6,6.88,52.9,52.1,52.8,-0.1,-0.19
7893,86161.0,1209.0,71.5,4.2408,71.5,70.8,71.1,0.6,0.85
7236,146914.0,2870.0,51.0,6.67,51.6,51.0,51.2,-0.3,-0.58
7971,83309.0,1110.0,75.1,3.9013,75.4,74.7,75.0,-0.2,-0.27
7742,187065.0,2460.0,75.4,3.8846,77.1,75.4,77.1,-1.8,-2.33
7848,129183.0,1988.0,64.9,3.6959,65.3,64.6,65.2,-1.1,-1.67
7747,81522.0,1075.0,75.8,3.9052,76.3,75.5,76.2,-0.4,-0.52
8049,98238.0,1421.0,69.3,3.6,69.9,68.3,68.3,1.1,1.61
7872,177211.0,2520.0,70.3,4.1696,71.3,69.3,69.7,-0.5,-0.71
7988,238850.0,3269.0,72.5,3.7662,74.1,72.5,73.3,-0.8,-1.09
7334,198162.0,3787.0,52.3,6.84,52.6,52.1,52.5,0.4,0.77
7846,70989.0,1062.0,66.5,3.787,67.2,66.5,67.1,-0.5,-0.75
6836,128244.0,2614.0,49.05,6.1,49.4,48.65,48.9,0.4,0.82
7644,119546.0,1461.0,82.7,2.29,82.7,80.0,80.9,1.7,2.1
7103,71286.0,1601.0,44.4,6.99,44.9,44.4,44.9,-0.5,-1.11
7467,170703.0,2719.0,62.7,3.49,63.2,62.3,62.6,0.1,0.16
7949,136282.0,1830.0,74.5,4.4187,75.2,74.0,75.2,-0.6,-0.8
8072,323564.0,5055.0,66.1,3.4338,66.9,62.1,64.0,0.0,0.0
7166,136954.0,2885.0,47.05,6.71,48.25,47.05,48.05,-0.8,-1.67
6927,316630.0,5516.0,57.5,7.67,57.8,56.4,57.2,0.9,1.59
6944,281832.0,4798.0,58.6,7.81,59.4,58.4,59.0,-0.3,-0.51
6993,378604.0,7795.0,49.1,5.89,49.15,48.05,49.0,0.3,0.61
7459,130326.0,2144.0,61.6,3.43,61.6,60.0,60.4,1.7,2.84
7736,121149.0,1546.0,78.1,4.0237,79.4,78.0,79.4,-0.9,-1.14
7956,155103.0,2016.0,76.9,3.9948,77.8,76.6,77.4,,-0.39
8015,78222.0,1091.0,71.8,3.7299,72.0,71.5,71.8,0.1,0.14
6879,372782.0,6374.0,58.4,7.79,58.8,57.7,58.1,0.7,1.21
7214,87597.0,1815.0,48.4,6.9,48.45,48.0,48.3,0.3,0.62
7449,211927.0,3417.0,62.2,3.46,62.3,61.3,61.8,1.0,1.63
7995,57771.0,784.0,73.6,3.8234,73.9,73.5,73.7,0.1,0.14
7861,478349.0,6926.0,69.1,4.0985,70.0,67.3,67.7,1.9,2.83
7916,105610.0,1513.0,69.6,4.1281,70.4,69.2,69.6,-0.3,-0.43
6889,227913.0,4097.0,55.7,7.43,56.1,55.2,55.9,-0.4,-0.71
7062,,2085.0,44.85,7.06,45.45,44.8,45.45,,-0.88
