date,9945_Turnover,9945_Volume,9945_close,9945_eps,9945_high,9945_low,9945_open,9945_ups_and_downs,9945_ups_percent
7963,92764.0,1995.0,46.75,4.3088,46.85,46.3,46.35,0.3,0.65
7027,29684.0,809.0,36.7,6.42,36.9,36.6,36.9,0.0,0.0
7827,39965.0,945.0,42.3,4.4762,42.5,42.2,42.4,-0.3,-0.7
6871,297094.0,7776.0,38.0,8.19,38.6,37.9,38.2,-0.05,-0.13
6878,136625.0,3628.0,37.5,8.08,38.2,37.5,38.1,-0.5,-1.32
6987,141326.0,3596.0,39.5,8.51,39.5,38.9,38.95,0.7,1.8
8051,61170.0,1442.0,42.3,3.8986,42.7,42.3,42.6,-0.4,-0.94
7392,88486.0,2482.0,35.5,,35.95,35.5,35.95,-0.5,-1.39
7446,193060.0,5497.0,35.05,4.38,35.6,34.85,35.55,-0.6,-1.68
6829,121648.0,3374.0,36.25,6.53,36.5,35.8,36.5,-0.4,-1.09
7519,,3723.0,33.45,3.48,33.95,33.3,33.75,-0.35,-1.04
7754,61907.0,1466.0,42.4,4.2699,42.45,41.8,41.8,0.6,1.44
7413,71146.0,1996.0,35.6,4.44,35.95,35.55,35.9,-0.1,-0.28
7229,547297.0,17062.0,31.95,7.21,33.05,31.7,33.05,-1.1,-3.33
6944,129417.0,3346.0,38.75,8.35,38.9,38.55,38.75,0.0,0.0
7084,59434.0,1745.0,33.95,7.75,34.25,33.95,34.0,-0.05,-0.15
8008,43113.0,967.0,44.65,4.1152,44.75,44.25,44.25,0.55,1.25
7574,59080.0,1372.0,43.05,4.48,43.5,42.5,42.6,0.25,0.58
7011,83902.0,2334.0,35.9,6.28,36.25,35.8,36.2,-0.4,-1.1
7075,189651.0,5606.0,33.6,7.67,34.55,33.5,34.15,-0.7,-2.04
7991,439041.0,9931.0,43.9,4.0461,44.9,43.9,44.2,0.0,0.0
7722,380452.0,8345.0,46.6,2.9016,46.85,44.8,45.7,0.0,0.0
6908,87672.0,2375.0,36.85,7.94,37.0,36.8,36.9,0.1,0.27
7678,51926.0,1113.0,46.6,2.9,46.8,46.55,46.8,-0.15,-0.32
7986,226568.0,5025.0,44.9,4.1382,45.65,44.9,45.65,-0.7,-1.54
8078,251544.0,8178.0,30.1,2.7742,32.75,30.1,32.7,-3.3,-9.88
7630,37096.0,828.0,44.8,2.79,45.0,44.6,44.8,0.5,1.13
